"account","assetfunction"
"af88ok","sddstandarduser"
"ag77um","sctstandarduser"
"ap85mu","uservalidation"
"by05xi","sctstandarduser"
"cn56ph","sctstandarduser"
"co26hm","paymentsquicksearch"
"cz97ur","sddstandarduser"
"db69op","sctpoweruser"
"db86up","businessadministrator"
"db86up","businessmanager"
"db86up","paymentsconsultation"
"db86up","sctpoweruser"
"dy14ss","paymentsconsultation"
"ei79is","paymentsconsultation"
"ev35nb","paymentsquicksearch"
"fe58bo","paymentsconsultation"
"go06wb","paymentsconsultation"
"gw32eo","sctstandarduser"
"hk79wb","paymentsconsultation"
"hk79wb","sctstandarduser"
"hk79wb","sddstandarduser"
"hy52wc","paymentsquicksearch"
"ik32pd","sctpoweruser"
"ix83mh","sctstandarduser"
"iz62df","paymentsconsultation"
"jd28xv","uservalidation"
"km00ru","paymentsquicksearch"
"le60xb","paymentsconsultation"
"lp58ua","sctpoweruser"
"lq04qf","paymentsconsultation"
"ls11yv","uservalidation"
"ls61nb","sctstandarduser"
"mc98lf","paymentsquicksearch"
"mm05qy","sctpoweruser"
"mu19ao","paymentsconsultation"
"mu19ao","sctstandarduser"
"mu19ao","sddstandarduser"
"mz35tm","sctpoweruser"
"nd32ly","uservalidation"
"nt72kc","businessmanager"
"nt72kc","sddstandarduser"
"oj55tn","paymentsconsultation"
"oj55tn","systemmanagement"
"oj55tn","usermanagement"
"or13oo","paymentsquicksearch"
"ov44bj","paymentsconsultation"
"ov44bj","systemmanagement"
"ov44bj","usermanagement"
"pu67cd","sctstandarduser"
"pv53py","sctpoweruser"
"qc82xe","paymentsconsultation"
"sd88ss","businessmanager"
"sd88ss","paymentsconsultation"
"sk70vx","uservalidation"
"sn03qb","paymentsquicksearch"
"sx81je","sctpoweruser"
"syspow1","systemmanagementpoweruser"
"syspow2","systemmanagementpoweruser"
"te11kr","paymentsconsultation"
"tl48ht","sctstandarduser"
"to82ki","paymentsconsultation"
"tz85sz","paymentsconsultation"
"tz85sz","systemmanagement"
"tz85sz","usermanagement"
"ui27wi","paymentsquicksearch"
"ve99dg","sddstandarduser"
"vm60ch","paymentsconsultation"
"vq31cr","paymentsquicksearch"
"vq87fn","sctstandarduser"
"vy04ke","sctstandarduser"
"vy51nv","paymentsconsultation"
"wb15ha","paymentsquicksearch"
"we52os","uservalidation"
"wf87ga","paymentsquicksearch"
"wr72uk","paymentsquicksearch"
"xi78sy","paymentsconsultation"
"xm07yf","paymentsconsultation"
"xq10bb","sctpoweruser"
"yb39sh","paymentsconsultation"
"yh79ub","paymentsconsultation"
"yt55xj","paymentsquicksearch"
"zzdovetailportalprod","webservicesconsumer"